last_name, first_name,player_id,year,b_home_run,
Gardner, Brett,458731,2018,12,
Gordon, Alex,460086,2018,13,
Kemp, Matt,461314,2018,21,
Santana, Carlos,467793,2018,24,
Gonzalez, Carlos,471865,2018,16,
Alonso, Yonder,475174,2018,23,
Smoak, Justin,475253,2018,25,
Lowrie, Jed,476704,2018,23,
Brantley Jr., Michael,488726,2018,17,
Gurriel, Yuli,493329,2018,13,
Solarte, Yangervis,500208,2018,17,
Rojas, Miguel,500743,2018,11,
Escobar, Eduardo,500871,2018,23,
Martinez, Jose,500874,2018,17,
Davis, Khris,501981,2018,48,
Pham, Tommy,502054,2018,21,
Martinez, J.D.,502110,2018,43,
Goldschmidt, Paul,502671,2018,33,
Gonzalez, Marwin,503556,2018,16,
Altuve, Jose,514888,2018,13,
Hernandez, Cesar,514917,2018,15,
Segura, Jean,516416,2018,10,
Castro, Starlin,516770,2018,12,
Marte, Starling,516782,2018,20,
Dietrich, Derek,518618,2018,16,
Freeman, Freddie,518692,2018,23,
Grandal, Yasmani,518735,2018,24,
LeMahieu, DJ,518934,2018,15,
Moustakas, Mike,519058,2018,28,
Rizzo, Anthony,519203,2018,25,
Stanton, Giancarlo,519317,2018,38,
Galvis, Freddy,520471,2018,13,
Perez, Salvador,521692,2018,27,
Inciarte, Ender,542255,2018,10,
Ozuna, Marcell,542303,2018,23,
Villar, Jonathan,542340,2018,14,
Aguilar, Jesus,542583,2018,35,
Crawford, Brandon,543063,2018,14,
Cron, C.J.,543068,2018,30,
Hicks, Aaron,543305,2018,27,
Hosmer, Eric,543333,2018,18,
Kipnis, Jason,543401,2018,18,
Rendon, Anthony,543685,2018,24,
Semien, Marcus,543760,2018,15,
Shaw, Travis,543768,2018,32,
Springer III, George,543807,2018,22,
Strange-Gordon, Dee,543829,2018,4,
Gregorius, Didi,544369,2018,27,
Trout, Mike,545361,2018,39,
Herrera, Odubel,546318,2018,22,
Harper, Bryce,547180,2018,34,
Abreu, Jose,547989,2018,22,
Suarez, Eugenio,553993,2018,34,
Polanco, Gregory,570256,2018,23,
Sanchez, Yolmer,570560,2018,8,
Arenado, Nolan,571448,2018,38,
Barnhart, Tucker,571466,2018,10,
Gennett, Scooter,571697,2018,23,
Hamilton, Billy,571740,2018,4,
Haniger, Mitch,571745,2018,26,
Piscotty, Stephen,572039,2018,27,
Seager, Kyle,572122,2018,22,
Carpenter, Matt,572761,2018,36,
Dickerson, Corey,572816,2018,13,
Dozier, Brian,572821,2018,21,
Contreras, Willson,575929,2018,10,
Castellanos, Nick,592206,2018,23,
Healy, Ryon,592387,2018,24,
Machado, Manny,592518,2018,37,
Realmuto, J.T.,592663,2018,21,
Rosario, Eddie,592696,2018,24,
Simmons, Andrelton,592743,2018,11,
Yelich, Christian,592885,2018,36,
Merrifield, Whit,593160,2018,12,
Bogaerts, Xander,593428,2018,23,
Calhoun, Kole,594777,2018,19,
Profar, Jurickson,595777,2018,20,
Baez, Javier,595879,2018,34,
Lindor, Francisco,596019,2018,38,
Odor, Rougned,596059,2018,18,
Story, Trevor,596115,2018,37,
Kepler, Max,596146,2018,20,
Bradley Jr., Jackie,598265,2018,13,
Candelario, Jeimer,600869,2018,19,
Ahmed, Nick,605113,2018,16,
Anderson, Brian,605119,2018,11,
Bell, Josh,605137,2018,12,
Betts, Mookie,605141,2018,32,
Smith, Mallex,605480,2018,2,
Hernandez, Teoscar,606192,2018,22,
Peraza, Jose,606299,2018,14,
Marte, Ketel,606466,2018,14,
Nimmo, Brandon,607043,2018,17,
Turner, Trea,607208,2018,19,
Pillar, Kevin,607680,2018,15,
Ramirez, Jose,608070,2018,39,
Bregman, Alex,608324,2018,31,
Gallo, Joey,608336,2018,40,
Mazara, Nomar,608577,2018,20,
Andujar, Miguel,609280,2018,27,
Swanson, Dansby,621020,2018,14,
Taylor, Chris,621035,2018,17,
Wendle, Joey,621563,2018,7,
Olson, Matt,621566,2018,29,
Duffy, Matt,622110,2018,4,
Margot, Manuel,622534,2018,8,
Camargo, Johan,622666,2018,19,
Conforto, Michael,624424,2018,28,
Anderson, Tim,641313,2018,20,
Bellinger, Cody,641355,2018,25,
Mancini III, Trey,641820,2018,24,
Rosario, Amed,642708,2018,9,
Benintendi, Andrew,643217,2018,16,
Albies, Ozzie,645277,2018,24,
Chapman, Matt,656305,2018,24,
Hoskins, Rhys,656555,2018,34,
Schwarber, Kyle,656941,2018,26,
Moncada, Yoan,660162,2018,17,
Beltran, Carlos,136860,2017,14,
Pujols, Albert,405395,2017,23,
Mauer, Joe,408045,2017,7,
Cabrera, Miguel,408234,2017,16,
Phillips, Brandon,408252,2017,13,
Reyes, Jose,408314,2017,15,
Choo, Shin-Soo,425783,2017,22,
Molina, Yadier,425877,2017,18,
Cano, Robinson,429664,2017,23,
Encarnacion, Edwin,429665,2017,38,
Bautista, Jose,430832,2017,23,
Jones, Adam,430945,2017,26,
Granderson, Curtis,434158,2017,26,
Ramirez, Hanley,434670,2017,23,
Morales, Kendrys,434778,2017,28,
Kinsler, Ian,435079,2017,22,
Cruz Jr., Nelson,443558,2017,39,
Trumbo, Mark,444432,2017,23,
Peralta, David,444482,2017,14,
Escobar, Alcides,444876,2017,6,
Longoria, Evan,446334,2017,20,
Cozart, Zack,446359,2017,24,
Reynolds, Mark,448602,2017,30,
Davis, Chris,448801,2017,26,
Headley, Chase,452104,2017,12,
Pence, Hunter,452254,2017,13,
Span, Denard,452655,2017,12,
Cabrera, Asdrubal,452678,2017,14,
Blackmon, Charlie,453568,2017,37,
Frazier, Todd,453943,2017,27,
Markakis, Nick,455976,2017,8,
Cain, Lorenzo,456715,2017,15,
McCutchen, Andrew,457705,2017,28,
Upton, Justin,457708,2017,35,
Turner, Justin,457759,2017,21,
Posey III, Buster,457763,2017,12,
Bruce, Jay,457803,2017,36,
Votto, Joey,458015,2017,36,
Gardner, Brett,458731,2017,21,
Joyce, Matt,459964,2017,25,
Gordon, Alex,460086,2017,9,
Andrus, Elvis,462101,2017,20,
Cabrera, Melky,466320,2017,17,
