"player_name","batter","events","bb_type","hc_x","hc_y","hit_distance_sc","launch_speed","pitch_name"
"Alonso, Pete",624413,"field_out","fly_ball",117.03,42.39,387,106.7,"Curveball"
"Turner, Trea",607208,"field_out","fly_ball",81.69,100.9,268,87.2,"Slider"
"Harper, Bryce",547180,"field_out","ground_ball",165.25,127.97,139,97.1,"Curveball"
"Alonso, Pete",624413,"field_out","ground_ball",124.11,173.38,2,80.8,"Sinker"
"Swanson, Dansby",621020,"single","line_drive",58.36,93.16,207,103.6,"Slider"
"Swanson, Dansby",621020,"field_out","line_drive",80.92,94.62,283,89.7,"4-Seam Fastball"
"Turner, Trea",607208,"double","line_drive",59.74,124.99,201,89,"Changeup"
"Turner, Trea",607208,"field_out","fly_ball",54.16,81.95,338,95.2,"Changeup"
"Turner, Trea",607208,"single","line_drive",169.75,102.1,145,102.1,"4-Seam Fastball"
"Swanson, Dansby",621020,"double","line_drive",45.88,123.89,238,91.8,"Changeup"
"Harper, Bryce",547180,"field_out","fly_ball",204.8,117.85,279,85.6,"Changeup"
"Alonso, Pete",624413,"field_out","ground_ball",96.07,165.48,116,108.6,"4-Seam Fastball"
"Turner, Trea",607208,"field_out","line_drive",75.86,102.18,271,76.4,"Slider"
"Harper, Bryce",547180,"field_out","line_drive",106.95,141.37,157,101.4,"Changeup"
"Turner, Trea",607208,"field_out","ground_ball",133.19,132.95,117,102.8,"Changeup"
"Swanson, Dansby",621020,"field_out","fly_ball",176.79,73.66,335,97.9,"4-Seam Fastball"
"Swanson, Dansby",621020,"single","ground_ball",110.5,175.33,1,63.5,"Curveball"
"Alonso, Pete",624413,"field_out","fly_ball",82.01,76.25,322,85.3,"Changeup"
"Swanson, Dansby",621020,"field_out","line_drive",142.71,43.35,387,104.6,"Curveball"
"Harper, Bryce",547180,"field_out","line_drive",61.14,99.32,295,98.8,"Cutter"
"Swanson, Dansby",621020,"field_out","line_drive",114.3,65.02,349,104.9,"Sinker"
"Alonso, Pete",624413,"field_out","ground_ball",134.29,162.75,93,39.7,"Sinker"
"Turner, Trea",607208,"field_out","popup",128.6,210.26,17,86.6,"Sinker"
"Harper, Bryce",547180,"field_out","fly_ball",72.41,63.09,360,104.1,"Slider"
"Harper, Bryce",547180,"home_run","fly_ball",130.95,23.16,442,109,"4-Seam Fastball"
"Swanson, Dansby",621020,"field_out","fly_ball",172.15,121.68,226,94.4,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","ground_ball",149.96,152.04,50,77.2,"Cutter"
"Swanson, Dansby",621020,"field_out","ground_ball",101.97,169.59,42,100,"4-Seam Fastball"
"Alonso, Pete",624413,"field_out","fly_ball",112.19,53.03,362,93.2,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","line_drive",41.47,104.77,312,98.7,"Sinker"
"Swanson, Dansby",621020,"field_out","popup",155.83,161.96,123,88.9,"Cutter"
"Harper, Bryce",547180,"home_run","fly_ball",118.04,26.43,427,106.3,"Sinker"
"Harper, Bryce",547180,"field_out","line_drive",203.73,101.48,307,87.4,"Curveball"
"Ohtani, Shohei",660271,"field_out","fly_ball",173.14,100.25,272,99.5,"Changeup"
"Swanson, Dansby",621020,"double","line_drive",214.71,111.86,262,87.7,"Sinker"
"Swanson, Dansby",621020,"double","line_drive",212.31,88.45,346,103.1,"4-Seam Fastball"
"Soto, Juan",665742,"double","fly_ball",145.17,53.29,386,105.7,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","line_drive",107.78,79.86,300,102,"Sinker"
"Soto, Juan",665742,"single","fly_ball",71.18,134.76,201,65.5,"Sinker"
"Alonso, Pete",624413,"single","ground_ball",114.9,157.58,47,77.6,"Slider"
"Ohtani, Shohei",660271,"field_out","fly_ball",167.87,84.64,302,104.1,"Curveball"
"Harper, Bryce",547180,"single","ground_ball",72.11,104.12,80,101.1,"4-Seam Fastball"
"Swanson, Dansby",621020,"single","ground_ball",120.84,189.02,1,53.2,"Changeup"
"Ohtani, Shohei",660271,"field_out","ground_ball",157.93,168.64,69,101.6,"Cutter"
"Soto, Juan",665742,"field_out","ground_ball",140.92,174.51,3,81.6,"Cutter"
"Soto, Juan",665742,"field_out","ground_ball",127.11,177.73,2,64.9,"4-Seam Fastball"
"Harper, Bryce",547180,"single","ground_ball",97.88,115.76,56,87.4,"4-Seam Fastball"
"Swanson, Dansby",621020,"single","ground_ball",139.8,76.67,28,99.4,"4-Seam Fastball"
"Alonso, Pete",624413,"field_out","line_drive",81.3,87.64,298,87.2,"Cutter"
"Harper, Bryce",547180,"field_out","fly_ball",77.01,92.76,291,84.5,"4-Seam Fastball"
"Harper, Bryce",547180,"double","line_drive",154.35,87.54,286,96,"Curveball"
"Alonso, Pete",624413,"field_out","line_drive",164.04,91.23,285,88.1,"Sinker"
"Swanson, Dansby",621020,"single","line_drive",148.71,92.53,189,83.5,"4-Seam Fastball"
"Swanson, Dansby",621020,"single","line_drive",149.64,74.48,208,99.8,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","ground_ball",138.09,143.33,4,88.5,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","ground_ball",126.12,186.49,2,59.9,"Slider"
"Ohtani, Shohei",660271,"double","line_drive",218.78,108.73,215,109.9,"Curveball"
"Harper, Bryce",547180,"field_out","ground_ball",164.11,148.07,104,105.1,"Slider"
"Soto, Juan",665742,"single","line_drive",179.64,73.4,282,111.8,"Slider"
"Harper, Bryce",547180,"field_out","fly_ball",84.23,65.28,347,94.5,"Slider"
"Soto, Juan",665742,"field_out","fly_ball",78.71,132.08,242,91.1,"4-Seam Fastball"
"Swanson, Dansby",621020,"field_out","ground_ball",86.77,163.17,3,92.2,"Sinker"
"Alonso, Pete",624413,"field_out","ground_ball",108.95,126.31,125,101.1,"Slider"
"Swanson, Dansby",621020,"single","line_drive",97.56,68.87,286,107.7,"Cutter"
"Alonso, Pete",624413,"field_out","fly_ball",42.31,85.79,346,97.7,"Slider"
"Ohtani, Shohei",660271,"field_out","ground_ball",157.32,140.76,43,79.9,"Slider"
"Soto, Juan",665742,"field_out","line_drive",93.19,72.99,323,90.5,"4-Seam Fastball"
"Harper, Bryce",547180,"home_run","fly_ball",76.83,31.56,430,107.1,"4-Seam Fastball"
"Ohtani, Shohei",660271,"single","ground_ball",172.84,136.69,56,83.2,"Changeup"
"Harper, Bryce",547180,"field_out","ground_ball",151.48,148.59,5,82.7,"Slider"
"Ohtani, Shohei",660271,"field_out","fly_ball",60.37,122.58,246,95.7,"Changeup"
"Alonso, Pete",624413,"field_out","fly_ball",104.46,123.91,197,94.1,"Changeup"
"Swanson, Dansby",621020,"field_out","ground_ball",108.17,164.19,2,58.5,"Slider"
"Ohtani, Shohei",660271,"field_out","ground_ball",162.78,136.52,43,101.6,"Changeup"
"Alonso, Pete",624413,"single","ground_ball",110.22,145.93,20,100.4,"Changeup"
"Harper, Bryce",547180,"field_out","ground_ball",143,157.34,22,70.3,"4-Seam Fastball"
"Alonso, Pete",624413,"home_run","fly_ball",47.78,57.35,399,108.9,"Sinker"
"Harper, Bryce",547180,"double","line_drive",45.73,118.87,242,88.6,"Sinker"
"Alonso, Pete",624413,"field_out","fly_ball",161.72,95.43,273,93.9,"Sinker"
"Alonso, Pete",624413,"field_out","line_drive",164.83,104.65,256,78.5,"Sinker"
"Soto, Juan",665742,"single","line_drive",62.13,113.11,179,92.6,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","fly_ball",37.65,87.49,350,99.2,"4-Seam Fastball"
"Ohtani, Shohei",660271,"field_out","line_drive",144.62,137.56,165,89.9,"Knuckle Curve"
"Harper, Bryce",547180,"double","fly_ball",74.18,105.78,374,102.2,"Curveball"
"Alonso, Pete",624413,"field_out","fly_ball",112.61,42.56,387,97.3,"Slider"
"Harper, Bryce",547180,"double","line_drive",37.87,100.93,276,95.9,"4-Seam Fastball"
"Ohtani, Shohei",660271,"field_out","fly_ball",137.47,49.71,371,97.3,"Cutter"
"Alonso, Pete",624413,"field_out","fly_ball",206.23,76.65,360,101.6,"4-Seam Fastball"
"Harper, Bryce",547180,"double","line_drive",145.45,77.07,223,104.9,"Cutter"
"Soto, Juan",665742,"field_out","fly_ball",58.72,92.58,312,97.8,"4-Seam Fastball"
"Swanson, Dansby",621020,"field_out","ground_ball",111.07,171.12,29,87.9,"Changeup"
"Alonso, Pete",624413,"field_out","fly_ball",51.63,98.72,307,86.3,"Changeup"
"Ohtani, Shohei",660271,"field_out","fly_ball",83.43,105.86,277,82,"Cutter"
"Swanson, Dansby",621020,"field_out","line_drive",194,79.68,340,99.8,"4-Seam Fastball"
