last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent
Straw, Myles,664702,2021,0.271,0.348,0.348
Walsh, Jared,665120,2021,0.277,0.509,0.34
Tatis Jr., Fernando,665487,2021,0.282,0.611,0.364
Guerrero Jr., Vladimir,665489,2021,0.311,0.601,0.401
Soto, Juan,665742,2021,0.313,0.534,0.465
Chisholm Jr., Jazz,665862,2021,0.248,0.425,0.302
Bichette, Bo,666182,2021,0.298,0.484,0.343
Carlson, Dylan,666185,2021,0.266,0.437,0.342
Garcia, Adolis,666969,2021,0.243,0.454,0.286
Gurriel Jr., Lourdes,666971,2021,0.276,0.466,0.318
Arozarena, Randy,668227,2021,0.274,0.459,0.356
Reynolds, Bryan,668804,2021,0.302,0.522,0.39
Rojas, Josh,668942,2021,0.264,0.411,0.338
Edman, Tommy,669242,2021,0.262,0.387,0.307
Solak, Nick,669256,2021,0.242,0.362,0.313
Hays, Austin,669720,2021,0.256,0.461,0.306
Lopez, Nicky,670032,2021,0.3,0.378,0.358
Alvarez, Yordan,670541,2021,0.277,0.531,0.346
Pujols, Albert,405395,2019,0.244,0.43,0.305
Cabrera, Miguel,408234,2019,0.282,0.398,0.346
Choo, Shin-Soo,425783,2019,0.265,0.455,0.371
Jones, Adam,430945,2019,0.26,0.414,0.313
Cruz Jr., Nelson,443558,2019,0.311,0.639,0.392
Longoria, Evan,446334,2019,0.254,0.437,0.325
Fowler, Dexter,451594,2019,0.238,0.409,0.345
Cabrera, Asdrubal,452678,2019,0.26,0.441,0.342
Blackmon, Charlie,453568,2019,0.314,0.576,0.364
Cain, Lorenzo,456715,2019,0.26,0.372,0.324
Turner, Justin,457759,2019,0.29,0.509,0.372
Votto, Joey,458015,2019,0.261,0.411,0.357
Gardner, Brett,458731,2019,0.251,0.503,0.325
Braun, Ryan,460075,2019,0.285,0.505,0.341
Gordon, Alex,460086,2019,0.266,0.396,0.344
Andrus, Elvis,462101,2019,0.275,0.393,0.313
Ramos, Wilson,467092,2019,0.288,0.416,0.351
Santana, Carlos,467793,2019,0.281,0.515,0.397
Belt, Brandon,474832,2019,0.234,0.403,0.339
Brantley Jr., Michael,488726,2019,0.311,0.503,0.372
Gurriel, Yuli,493329,2019,0.298,0.541,0.343
Rojas, Miguel,500743,2019,0.284,0.379,0.331
Escobar, Eduardo,500871,2019,0.269,0.511,0.32
Davis, Khris,501981,2019,0.22,0.387,0.293
Pham, Tommy,502054,2019,0.273,0.45,0.369
Martinez, J.D.,502110,2019,0.304,0.557,0.382
Reddick, Josh,502210,2019,0.275,0.409,0.316
Goldschmidt, Paul,502671,2019,0.26,0.476,0.345
Altuve, Jose,514888,2019,0.298,0.55,0.352
Hernandez, Cesar,514917,2019,0.279,0.408,0.333
Segura, Jean,516416,2019,0.28,0.42,0.322
Castro, Starlin,516770,2019,0.27,0.436,0.3
Marte, Starling,516782,2019,0.295,0.503,0.341
Donaldson, Josh,518626,2019,0.259,0.521,0.379
Freeman, Freddie,518692,2019,0.295,0.549,0.389
Grandal, Yasmani,518735,2019,0.246,0.468,0.38
Heyward, Jason,518792,2019,0.251,0.429,0.343
LeMahieu, DJ,518934,2019,0.327,0.518,0.374
Moustakas, Mike,519058,2019,0.254,0.516,0.329
Rizzo, Anthony,519203,2019,0.293,0.52,0.405
Galvis, Freddy,520471,2019,0.26,0.438,0.295
Garcia, Avisail,541645,2019,0.282,0.464,0.332
Ozuna, Marcell,542303,2019,0.241,0.472,0.328
Villar, Jonathan,542340,2019,0.274,0.453,0.338
Santana, Danny,542454,2019,0.283,0.534,0.323
Crawford, Brandon,543063,2019,0.228,0.35,0.304
Hosmer, Eric,543333,2019,0.265,0.425,0.31
Kipnis, Jason,543401,2019,0.245,0.41,0.301
Rendon, Anthony,543685,2019,0.319,0.598,0.412
Semien, Marcus,543760,2019,0.285,0.522,0.369
Springer III, George,543807,2019,0.292,0.591,0.383
Vazquez, Christian,543877,2019,0.276,0.477,0.319
Wong, Kolten,543939,2019,0.285,0.423,0.357
Garcia, Leury,544725,2019,0.279,0.378,0.304
Grichuk, Randal,545341,2019,0.232,0.457,0.28
Trout, Mike,545361,2019,0.291,0.645,0.438
Harper, Bryce,547180,2019,0.26,0.51,0.372
Abreu, Jose,547989,2019,0.284,0.503,0.33
Suarez, Eugenio,553993,2019,0.271,0.572,0.358
Santana, Domingo,570267,2019,0.253,0.441,0.327
Sanchez, Yolmer,570560,2019,0.252,0.321,0.314
Arenado, Nolan,571448,2019,0.315,0.583,0.379
Muncy, Max,571970,2019,0.251,0.515,0.374
Voit III, Luke,572228,2019,0.263,0.464,0.378
Walker, Christian,572233,2019,0.259,0.476,0.348
Iglesias, Jose,578428,2019,0.288,0.407,0.317
Bryant, Kris,592178,2019,0.282,0.521,0.382
Castellanos, Nick,592206,2019,0.289,0.525,0.337
Machado, Manny,592518,2019,0.256,0.462,0.334
Moran, Colin,592567,2019,0.277,0.429,0.322
Pederson, Joc,592626,2019,0.249,0.538,0.339
